1548383899 INTERNAL *** MONITORD_STARTED ***
1548383893 INTERNAL *** DAGMAN_STARTED 7996.0 ***
1548383898 create_dir_namd_wf_0_cori SUBMIT 7997.0 local - 1
1548383903 create_dir_namd_wf_0_cori EXECUTE 7997.0 local - 1
1548383903 create_dir_namd_wf_0_cori JOB_TERMINATED 7997.0 local - 1
1548383903 create_dir_namd_wf_0_cori JOB_SUCCESS 0 local - 1
1548383903 create_dir_namd_wf_0_cori POST_SCRIPT_STARTED 7997.0 local - 1
1548383908 create_dir_namd_wf_0_cori POST_SCRIPT_TERMINATED 7997.0 local - 1
1548383908 create_dir_namd_wf_0_cori POST_SCRIPT_SUCCESS 0 local - 1
1548383913 stage_in_local_cori_0_0 SUBMIT 7998.0 local - 2
1548383913 stage_in_local_cori_0_0 EXECUTE 7998.0 local - 2
1548383913 stage_in_local_cori_1_0 SUBMIT 7999.0 local - 3
1548383918 stage_in_local_cori_0_0 JOB_TERMINATED 7998.0 local - 2
1548383918 stage_in_local_cori_0_0 JOB_SUCCESS 0 local - 2
1548383918 stage_in_local_cori_0_0 POST_SCRIPT_STARTED 7998.0 local - 2
1548383918 stage_in_local_cori_1_0 EXECUTE 7999.0 local - 3
1548383923 stage_in_local_cori_0_0 POST_SCRIPT_TERMINATED 7998.0 local - 2
1548383923 stage_in_local_cori_0_0 POST_SCRIPT_SUCCESS 0 local - 2
1548383923 stage_in_local_cori_1_0 JOB_TERMINATED 7999.0 local - 3
1548383923 stage_in_local_cori_1_0 JOB_SUCCESS 0 local - 3
1548383923 stage_in_local_cori_1_0 POST_SCRIPT_STARTED 7999.0 local - 3
1548383929 stage_in_local_cori_1_0 POST_SCRIPT_TERMINATED 7999.0 local - 3
1548383929 stage_in_local_cori_1_0 POST_SCRIPT_SUCCESS 0 local - 3
1548383929 shifter_ID0000003 SUBMIT 8000.0 cori 1200 4
1548383929 shifter_ID0000001 SUBMIT 8001.0 cori 1200 5
1548383944 shifter_ID0000001 GLOBUS_SUBMIT 8001.0 cori 1200 5
1548383944 shifter_ID0000001 GRID_SUBMIT 8001.0 cori 1200 5
1548383949 shifter_ID0000003 GLOBUS_SUBMIT 8000.0 cori 1200 4
1548383949 shifter_ID0000003 GRID_SUBMIT 8000.0 cori 1200 4
1548384154 shifter_ID0000001 EXECUTE 8001.0 cori 1200 5
1548384194 shifter_ID0000001 JOB_TERMINATED 8001.0 cori 1200 5
1548384194 shifter_ID0000001 JOB_SUCCESS 0 cori 1200 5
1548384199 shifter_ID0000002 SUBMIT 8002.0 cori 1200 6
1548384209 shifter_ID0000002 GLOBUS_SUBMIT 8002.0 cori 1200 6
1548384209 shifter_ID0000002 GRID_SUBMIT 8002.0 cori 1200 6
1548384364 shifter_ID0000003 EXECUTE 8000.0 cori 1200 4
1548384400 shifter_ID0000003 JOB_TERMINATED 8000.0 cori 1200 4
1548384400 shifter_ID0000003 JOB_SUCCESS 0 cori 1200 4
1548384405 shifter_ID0000004 SUBMIT 8003.0 cori 1200 7
1548384415 shifter_ID0000004 GLOBUS_SUBMIT 8003.0 cori 1200 7
1548384415 shifter_ID0000004 GRID_SUBMIT 8003.0 cori 1200 7
1548384470 shifter_ID0000004 EXECUTE 8003.0 cori 1200 7
1548384470 shifter_ID0000002 EXECUTE 8002.0 cori 1200 6
1548384550 shifter_ID0000002 JOB_TERMINATED 8002.0 cori 1200 6
1548384550 shifter_ID0000002 JOB_SUCCESS 0 cori 1200 6
1548384555 shifter_ID0000004 JOB_TERMINATED 8003.0 cori 1200 7
1548384555 shifter_ID0000004 JOB_SUCCESS 0 cori 1200 7
1548384560 stage_out_local_cori_1_0 SUBMIT 8004.0 local - 8
1548384565 stage_out_local_cori_1_0 EXECUTE 8004.0 local - 8
1548384565 stage_out_local_cori_1_0 JOB_TERMINATED 8004.0 local - 8
1548384565 stage_out_local_cori_1_0 JOB_SUCCESS 0 local - 8
1548384565 stage_out_local_cori_1_0 POST_SCRIPT_STARTED 8004.0 local - 8
1548384570 stage_out_local_cori_1_0 POST_SCRIPT_TERMINATED 8004.0 local - 8
1548384570 stage_out_local_cori_1_0 POST_SCRIPT_SUCCESS 0 local - 8
1548384576 cleanup_namd_wf_0_cori SUBMIT 8005.0 local - 9
1548384581 cleanup_namd_wf_0_cori EXECUTE 8005.0 local - 9
1548384581 cleanup_namd_wf_0_cori JOB_TERMINATED 8005.0 local - 9
1548384581 cleanup_namd_wf_0_cori JOB_SUCCESS 0 local - 9
1548384581 cleanup_namd_wf_0_cori POST_SCRIPT_STARTED 8005.0 local - 9
1548384586 cleanup_namd_wf_0_cori POST_SCRIPT_TERMINATED 8005.0 local - 9
1548384586 cleanup_namd_wf_0_cori POST_SCRIPT_SUCCESS 0 local - 9
1548384586 INTERNAL *** DAGMAN_FINISHED 0 ***
1548384588 INTERNAL *** MONITORD_FINISHED 0 ***
