1560059232 INTERNAL *** MONITORD_STARTED ***
1560059231 INTERNAL *** DAGMAN_STARTED 249.0 ***
1560059235 create_dir_namd_wf_0_cori SUBMIT 250.0 cori - 1
1560059245 create_dir_namd_wf_0_cori GRID_SUBMIT 250.0 cori - 1
1560059284 create_dir_namd_wf_0_cori JOB_TERMINATED 250.0 cori - 1
1560059285 create_dir_namd_wf_0_cori JOB_SUCCESS 0 cori - 1
1560059285 create_dir_namd_wf_0_cori POST_SCRIPT_STARTED 250.0 cori - 1
1560059285 create_dir_namd_wf_0_cori POST_SCRIPT_TERMINATED 250.0 cori - 1
1560059290 create_dir_namd_wf_0_cori POST_SCRIPT_SUCCESS 0 cori - 1
1560059295 stage_in_remote_cori_0_0 SUBMIT 251.0 cori - 2
1560059295 stage_in_remote_cori_1_0 SUBMIT 252.0 cori - 3
1560059304 stage_in_remote_cori_0_0 GRID_SUBMIT 251.0 cori - 2
1560059304 stage_in_remote_cori_1_0 GRID_SUBMIT 252.0 cori - 3
1560059343 stage_in_remote_cori_1_0 JOB_TERMINATED 252.0 cori - 3
1560059345 stage_in_remote_cori_1_0 JOB_SUCCESS 0 cori - 3
1560059345 stage_in_remote_cori_1_0 POST_SCRIPT_STARTED 252.0 cori - 3
1560059343 stage_in_remote_cori_0_0 JOB_TERMINATED 251.0 cori - 2
1560059345 stage_in_remote_cori_0_0 JOB_SUCCESS 0 cori - 2
1560059345 stage_in_remote_cori_0_0 POST_SCRIPT_STARTED 251.0 cori - 2
1560059345 stage_in_remote_cori_1_0 POST_SCRIPT_TERMINATED 252.0 cori - 3
1560059350 stage_in_remote_cori_1_0 POST_SCRIPT_SUCCESS 0 cori - 3
1560059345 stage_in_remote_cori_0_0 POST_SCRIPT_TERMINATED 251.0 cori - 2
1560059350 stage_in_remote_cori_0_0 POST_SCRIPT_SUCCESS 0 cori - 2
1560059355 namd2_ID0000001 SUBMIT 253.0 cori - 4
1560059355 namd2_ID0000003 SUBMIT 254.0 cori - 5
1560059374 namd2_ID0000003 GRID_SUBMIT 254.0 cori - 5
1560059374 namd2_ID0000001 GRID_SUBMIT 253.0 cori - 4
1560059477 namd2_ID0000001 JOB_TERMINATED 253.0 cori - 4
1560059481 namd2_ID0000001 JOB_SUCCESS 0 cori - 4
1560059481 namd2_ID0000001 POST_SCRIPT_STARTED 253.0 cori - 4
1560059477 namd2_ID0000003 JOB_TERMINATED 254.0 cori - 5
1560059481 namd2_ID0000003 JOB_SUCCESS 0 cori - 5
1560059481 namd2_ID0000003 POST_SCRIPT_STARTED 254.0 cori - 5
1560059481 namd2_ID0000001 POST_SCRIPT_TERMINATED 253.0 cori - 4
1560059486 namd2_ID0000001 POST_SCRIPT_SUCCESS 0 cori - 4
1560059481 namd2_ID0000003 POST_SCRIPT_TERMINATED 254.0 cori - 5
1560059486 namd2_ID0000003 POST_SCRIPT_SUCCESS 0 cori - 5
1560059491 namd2_ID0000002 SUBMIT 255.0 cori - 6
1560059491 namd2_ID0000004 SUBMIT 256.0 cori - 7
1560059505 namd2_ID0000002 GRID_SUBMIT 255.0 cori - 6
1560059505 namd2_ID0000004 GRID_SUBMIT 256.0 cori - 7
1560060005 namd2_ID0000002 EXECUTE 255.0 cori - 6
1560060026 namd2_ID0000004 EXECUTE 256.0 cori - 7
1560060156 namd2_ID0000004 JOB_TERMINATED 256.0 cori - 7
1560060161 namd2_ID0000004 JOB_SUCCESS 0 cori - 7
1560060161 namd2_ID0000004 POST_SCRIPT_STARTED 256.0 cori - 7
1560060161 namd2_ID0000004 POST_SCRIPT_TERMINATED 256.0 cori - 7
1560060166 namd2_ID0000004 POST_SCRIPT_SUCCESS 0 cori - 7
1560060166 namd2_ID0000002 JOB_TERMINATED 255.0 cori - 6
1560060166 namd2_ID0000002 JOB_SUCCESS 0 cori - 6
1560060166 namd2_ID0000002 POST_SCRIPT_STARTED 255.0 cori - 6
1560060166 namd2_ID0000002 POST_SCRIPT_TERMINATED 255.0 cori - 6
1560060171 namd2_ID0000002 POST_SCRIPT_SUCCESS 0 cori - 6
1560060176 stage_out_remote_cori_1_0 SUBMIT 257.0 cori - 8
1560060185 stage_out_remote_cori_1_0 GRID_SUBMIT 257.0 cori - 8
1560060225 stage_out_remote_cori_1_0 JOB_TERMINATED 257.0 cori - 8
1560060226 stage_out_remote_cori_1_0 JOB_SUCCESS 0 cori - 8
1560060226 stage_out_remote_cori_1_0 POST_SCRIPT_STARTED 257.0 cori - 8
1560060226 stage_out_remote_cori_1_0 POST_SCRIPT_TERMINATED 257.0 cori - 8
1560060231 stage_out_remote_cori_1_0 POST_SCRIPT_SUCCESS 0 cori - 8
1560060236 cleanup_namd_wf_0_cori SUBMIT 258.0 cori - 9
1560060247 cleanup_namd_wf_0_cori GRID_SUBMIT 258.0 cori - 9
1560060284 cleanup_namd_wf_0_cori JOB_TERMINATED 258.0 cori - 9
1560060286 cleanup_namd_wf_0_cori JOB_SUCCESS 0 cori - 9
1560060286 cleanup_namd_wf_0_cori POST_SCRIPT_STARTED 258.0 cori - 9
1560060286 cleanup_namd_wf_0_cori POST_SCRIPT_TERMINATED 258.0 cori - 9
1560060291 cleanup_namd_wf_0_cori POST_SCRIPT_SUCCESS 0 cori - 9
1560060291 INTERNAL *** DAGMAN_FINISHED 0 ***
1560060293 INTERNAL *** MONITORD_FINISHED 0 ***
